ReceiptTS,Source,mktTS,px,qty,side
2021-05-16 16:32:13.907272992+00:00,Huobi,2021-05-16 16:32:13.780000+00:00,47573.24,0.011111,Sell
2021-05-16 16:32:13.947230227+00:00,Huobi,2021-05-16 16:32:13.821000+00:00,47565.68,0.002548,Sell
2021-05-16 16:32:14.064828797+00:00,Huobi,2021-05-16 16:32:13.905000+00:00,47567.25,0.0155,Sell
2021-05-16 16:32:14.094004670+00:00,Binance,2021-05-16 16:32:13.930000+00:00,47568.64,0.000414,Sell
2021-05-16 16:32:14.144771423+00:00,Binance,2021-05-16 16:32:13.989000+00:00,47568.75,0.0178,Buy
2021-05-16 16:32:14.153516276+00:00,Huobi,2021-05-16 16:32:14.028000+00:00,47567.26,0.002,Buy
2021-05-16 16:32:14.179492041+00:00,Binance,2021-05-16 16:32:13.995000+00:00,47568.64,0.005282,Sell
2021-05-16 16:32:14.179517150+00:00,Binance,2021-05-16 16:32:13.995000+00:00,47568.63,0.00042,Sell
2021-05-16 16:32:14.179533495+00:00,Binance,2021-05-16 16:32:13.995000+00:00,47567.52,0.014814,Sell
2021-05-16 16:32:14.179661590+00:00,Binance,2021-05-16 16:32:14.016000+00:00,47567.53,0.271246,Buy
2021-05-16 16:32:14.179679098+00:00,Binance,2021-05-16 16:32:14.017000+00:00,47566.21,0.006,Sell
2021-05-16 16:32:14.179695514+00:00,Binance,2021-05-16 16:32:14.017000+00:00,47565.05,0.027006,Sell
2021-05-16 16:32:14.179712075+00:00,Binance,2021-05-16 16:32:14.017000+00:00,47565.04,0.02797,Sell
2021-05-16 16:32:14.179728001+00:00,Binance,2021-05-16 16:32:14.017000+00:00,47563.89,0.05813,Sell
2021-05-16 16:32:14.179744283+00:00,Binance,2021-05-16 16:32:14.017000+00:00,47563.88,0.166084,Sell
2021-05-16 16:32:14.179836134+00:00,Binance,2021-05-16 16:32:14.026000+00:00,47563.89,0.05813,Sell
2021-05-16 16:32:14.179853227+00:00,Binance,2021-05-16 16:32:14.026000+00:00,47561.35,0.059123,Sell
2021-05-16 16:32:14.179870332+00:00,Binance,2021-05-16 16:32:14.026000+00:00,47561.34,0.02837,Sell
2021-05-16 16:32:14.179887703+00:00,Binance,2021-05-16 16:32:14.026000+00:00,47558.45,0.436802,Sell
2021-05-16 16:32:14.179903406+00:00,Binance,2021-05-16 16:32:14.026000+00:00,47556.66,0.416575,Sell
2021-05-16 16:32:14.207968636+00:00,OKEx,2021-05-16 16:32:14.029000+00:00,47568.4,1.21138621,Sell
2021-05-16 16:32:14.215958233+00:00,OKEx,2021-05-16 16:32:14.038000+00:00,47568.4,0.08861379,Sell
2021-05-16 16:32:14.219547504+00:00,OKEx,2021-05-16 16:32:14.039000+00:00,47568.4,0.02102236,Sell
